  MyForm.cpp
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(274,1): warning C4554: "|": проверьте приоритет операторов на ошибки; для уточнения приоритета используйте скобки
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(283,63): warning C4244: аргумент: преобразование "double" в "int", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(287,63): warning C4244: аргумент: преобразование "double" в "int", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(297,108): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(298,103): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(301,108): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(302,103): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(305,108): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(306,103): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(309,108): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(310,103): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(335,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(337,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(340,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(342,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(347,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(349,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(352,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(354,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(362,158): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(365,158): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(370,158): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(374,158): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(401,191): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(405,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(408,191): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(412,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(419,191): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(423,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(427,191): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(431,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(449,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(453,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(456,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(460,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(467,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(471,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(475,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(479,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(497,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\79504\source\repos\-WinForms-C-\our_calc\MyForm.h(501,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
